"LANGUAGE","Español","Language name (in native language).  This means the NAME OF THE LANGUAGE BEING TRANSLATED INTO, and should NOT be a translation of the word 'English'"
"WHATSNEW_L1","Este mensaje es solo para informarle que el mod se ha actualizado.",""
"WHATSNEW_L2","Para obtener una lista detallada de los cambios, consulte Steam Workshop o GitHub.",""
"WHATSNEW_L3","¡Gracias por su uso y apoyo!",""
"MOD_DESCRIPTION","¡Conduce vehículos por tu ciudad!",""
"SETTINGS_GROUP_GENERAL","General Settings",""
"SETTINGS_GROUP_VEHICLE","Vehicle Settings",""
"SETTINGS_GROUP_CAMERA","Camera Settings",""
"SETTINGS_GROUP_GAME","Gameplay Settings",""
"SETTINGS_GROUP_KEYS","Keybinds",""
"SETTINGS_MAXVELOCITY","Velocidad máxima",""
"SETTINGS_ENGINEPOWER","Fuerza de aceleración",""
"SETTINGS_BRAKINGFORCE","Fuerza de frenar",""
"SETTINGS_BRAKINGABS","ABS",""
"SETTINGS_DOWNFORCE","Downforce",""
"SETTINGS_DRIVEBIAS","Drive bias",""
"SETTINGS_DRIVEBIAS_DETAIL","Indicate whether the vehicle is front-, rear-, or four-wheel drive.
0 = full front drive; 1 = full rear drive.
The value between the two indicates the front and rear power distribution ratio of 4WD.",""
"SETTINGS_BRAKEBIAS","Brake bias",""
"SETTINGS_BRAKEBIAS_DETAIL","Distribution of braking force between front and rear wheels.
0 = fully front brakes, 1 = fully rear brakes.",""
"SETTINGS_GRIPOVERMATCH","Grip overmatch",""
"SETTINGS_GRIPCOEFFS","Static grip coefficient",""
"SETTINGS_GRIPCOEFFK","Kinetic grip coefficient",""
"SETTINGS_SPRINGDAMP","Spring damping",""
"SETTINGS_SPRINGOFFSET","Spring offset",""
"SETTINGS_MASSFACTOR","Mass factor",""
"SETTINGS_MASSCENTERHEIGHT","Mass center height",""
"SETTINGS_MASSCENTERBIAS","Mass center bias",""
"SETTINGS_BUILDINGCOLLISION","Building collision",""
"SETTINGS_VEHICLECOLLISION","Vehicle collision",""
"SETTINGS_UNDERGROUNDRENDERING","Underground Road Rendering",""
"SETTINGS_UNDERGROUNDRENDERING_DETAIL","Render underground roads without tunnel textures like vanilla roads for easier driving.
Disable this if it conflicts with existing tunnels or causes visual issues.",""
"SETTINGS_OFFSET","Desplazamiento de cámara",""
"SETTINGS_KEYUUITOGGLE","Toggle main panel (requires UUI mod)",""
"SETTINGS_KEYLIGHTTOGGLE","Toggle head light",""
"SETTINGS_KEYSIRENTOGGLE","Toggle siren for special vehicles",""
"SETTINGS_KEYUNSTUCK","Unstuck",""
"SETTINGS_RESETBTN","Reset Settings",""
"MAINPANELBTN_TOOLTIP","IOperateIt revisado",""
"DRIVEBTN_TOOLTIP","Empieza a conducir",""
"SPAWNBTN_TEXT","Vehículo de generación",""
"MODSETTINGSBTN_TEXT","Mod settings",""
"ROAD_SELECT","Seleccione un segmento de camino para empezar conducir",""
"DRIVINGMODE","Driving mode",""
